[00:00] 歡迎收看今天《文倩的世界》財經週報。
[35:59] 她們被稱為電磁分離器女孩
[36:02] 這些女孩在幾年後才知道
[36:04] 自己的工作是如何改變人類歷史
[36:08] 在9月15日 火力下降
[36:13] 1945年8月6日
[36:15] 美軍朝日本光島
[36:16] 投下第一枚原子彈
[36:19] 在相樹嶺工作的人才知道
[36:21] 他們負責製作核彈原料
[36:24] 這份工作促使
[36:25] 第二次世界大戰結束
[36:27] 卻也奪走了十四多萬條人命
[36:31] 你知不知道
[36:34] 你所工作的大量產品
[36:38] 我想你會很害怕
[36:40] 如果你沒有任何理由
[36:44] 隨著兩枚原子彈終結了世界大戰
[36:46] 相樹嶺社區功臣深退
[36:49] 絕大多數的員工都被資遣
[36:52] 就在美國政府打算按原計劃
[36:54] 拆除相樹嶺的所有
[36:56] 核子研究和濃縮誘社失實
[36:59] 一群科學家成功說服政府
[37:01] 讓這裡轉型成由國家主導的
[37:04] 先進科學實驗室
[37:06] K-25產生了核彈
[37:10] 全面經歷了世界大戰
[37:11] 歐克瑞德大學
[37:13] 成功發展成為
[37:14] 全面科學、物理科學、能量科學
[37:20] 實驗室持續發現新的化學元素
[37:23] 基因學家在這裡確認了
[37:25] 歪染色體的存在
[37:27] 現代人早以習以為常的出控螢幕
[37:30] 但身體就是相樹嶺
[37:32] 而這裡的研究
[37:33] 還催生出3D列印科技
[37:36] 美國科學家相當自豪地說
[37:39] 相樹嶺是所有
[37:40] 先進科技的誕生地
[37:43] 能量科技、能量科技存放
[37:47] 能量科技和
[37:50] 3D列印科技的進步
[37:52] 我們做的事情像是
[37:53] 與NASA合作
[37:55] 你看到的深層空氣測試
[37:57] 能量科技和能量測試的燃油
[38:00] 從這裡到歐克瑞德
[38:03] 所有東西都從這裡流出
[38:04] 所以今天我們的Nutron科學
[38:07] 我們的物理科學
[38:09] 我們的科學在生物體
[38:11] 在環境上
[38:13] 甚至是超級計算
[38:15] 相樹嶺國家實驗室
[38:17] 先後擁有多部化時代的超級電腦
[38:20] 現今AI霸主的回答
[38:22] 也曾為相樹嶺的超級電腦
[38:24] 提供強大運算力
[38:26] 今年初上線運送的超級電腦Lux
[38:29] 則是使用超微的先進AI晶片
[38:33] 算力可達到
[38:34] 前一代超級電腦的三倍
[38:37] HPC和AI
[38:38] 任何國家有這類的領導力
[38:41] 都會是最有力量的國家
[38:44] 最有生存力的國家
[38:46] 而且也會做出最大的進步
[38:48] 這些東西都會是
[38:49] 對國家安全的重要性
[38:50] 以及不被分類的研究
[38:52] 這是歐克瑞德帶給國家的東西
[38:55] 要讓美國在AI領域保持領先
[38:58] 相樹嶺還有另一大優勢
[39:00] 能源
[39:01] 二戰結束後
[39:03] 相樹嶺的科學家
[39:04] 把原本用於武器的核原料
[39:07] 轉型成和平用途的核能技術
[39:10] 就在全世界為了AI
[39:11] 追求更穩定的電力來源
[39:13] 卻又擔心核能安全性時
[39:16] 相樹嶺又提供了關鍵支援
[39:20] 與歐克瑞德的合作
[39:21] 對Kairos來說非常重要
[39:23] 現在我們正在構建
[39:25] Hermes-1的機械建築
[39:27] 這間建築物有很多的價值
[39:30] 與歐克瑞德合作
[39:32] 去減少價值
[39:32] 尋找新的方法
[39:34] 在社會建築上
[39:35] Kairos的機會非常大
[39:38] Kairos是美國能源新創公司
[39:41] 這間公司所開發的
[39:42] 小型模組反應爐
[39:44] 被視為安全性更高
[39:46] 成本更低的新世代核能
[39:49] 除了Kairos
[39:50] 相樹嶺工業園區
[39:51] 共聚集了150多家
[39:53] 核能新創產業
[39:55] 這是我們在東南亞的
[39:56] 東北的環境系統
[39:59] 核能能源
[40:02] 能夠發展到美國的全球
[40:04] 這是核能源的出生點
[40:07] 我期待它能夠再次出生
[40:11] 80年前
[40:12] 這裡是足以摧毀人類文明的
[40:14] 原子彈出生地
[40:16] 80年後的今天
[40:18] 相樹嶺的科學家們
[40:19] 積極打造一條
[40:20] 通往未來AI世界的
[40:22] 技術通道
[40:24] 只希望這個人類智慧的聚集地
[40:27] 不會再為另一場戰爭服務
[40:58] Ebola病情
[41:00] 很多人覺得
[41:01] 好像我們沒有關係
[41:02] 在很遠的地方
[41:03] 在非洲
[41:04] 但它的傳染率太高了
[41:06] 而它現在進不了
[41:08] 為什麼
[41:09] 因為盛傳Ebola的地方
[41:13] 正好是在當地剛果
[41:16] 開發金礦地方
[41:18] 在錢與死這件事情裡頭
[41:22] 人有的時候很難選擇
[41:25] 你要錢還是要死
[41:26] 你會僥倖覺得我避開了
[41:28] 我說不定就可以活下來
[41:30] 就可以發財了
[41:31] 因為它太容易傳
[41:34] 就是一點去一點
[41:35] 馬上就傳染開來
[41:36] 所以鄰國的烏干達的確診病例
[41:38] 已經增加很多
[41:40] 光是剛果就已經確診了
[41:44] 600個人左右
[41:45] 美國的CDC預估
[41:47] 如果不提升的話
[41:49] 現在的隔離不提升標準
[41:52] 在三個月之內
[41:53] 可能會有2萬個人
[41:55] 而這2萬個人再散播出去
[41:57] 不會只有在非洲
[41:59] 會還去了其他的地方
[42:01] 其中有一個美國人
[42:03] 有一個美國人的Ebola
[42:06] 在肯亞這個地方設隔離中心
[42:08] 肯亞人當然非常憤怒
[42:10] 覺得美國人太自私
[42:12] 而過去也沒有見過這種例子
[42:14] 美國過去有些醫生
[42:16] 像Dr. Without Borders
[42:17] 他們會到這個地方來幫忙
[42:19] 現在美國變成一種國家
[42:21] 也不是接回它的國內
[42:23] 他就覺得你在那裡
[42:24] 你不要回來
[42:25] 你不要傳染給我們
[42:26] 這成了這一次
[42:28] 因為美國撒手不管
[42:30] 美國不只是不要做世界警察
[42:32] 其實在這些國際重大的
[42:34] 衛生角色裡頭
[42:36] 第一個不讓它的公民回家
[42:38] 第二個它不願意扮演過去
[42:40] 領導全球公衛的角色
[42:48] 憤怒民眾在路中央焚燒輪胎
[42:50] 一輛輛載著
[42:52] 荷槍實彈士兵的軍車快速逼近
[42:54] 這不是另一場非洲內戰
[42:56] 而是肯亞人對強國霸凌的反彈
[43:00] 他們不能這樣做
[43:02] 因為美國人太自私了
[43:04] 他們說這是一個
[43:05] 一個國際防疫的設施
[43:07] 只對美國人而言
[43:08] 所以美國人太自私了
[43:10] 我們要求美國人
[43:11] 把我們的護膚品和生產
[43:14] 把我們的護膚品
[43:16] 把我們的皮膚
[43:18] 把我們的皮膚
[43:20] 肯亞人這麼生氣
[43:22] 是因為遠在1000公里外的
[43:24] 鋼管爆發伊波拉疫情
[43:26] 美國人卻要在沒有任何病例的
[43:29] 肯亞設立專屬美國公民的
[43:31] 隔離中心
[43:32] 只因為川普政府害怕自己的公民
[43:35] 把病毒帶回家
[43:37] 我們不能和不許
[43:39] 任何伊波羅的案例
[43:41] 進入美國
[43:42] 盧比歐的話說得很硬
[43:44] 因為位於中非的鋼管
[43:46] 正爆發第17波伊波拉疫情
[43:49] 前線醫護人員沒有正確的檢測劑
[43:52] 以至於無法在第一時間發現
[43:54] 這波疫情是罕見的
[43:56] 邦迪布教病毒株
[43:58] 邦迪布教病毒株沒有疫苗
[44:01] 也沒有有效的治療藥物
[44:03] 一旦在人群內爆發開來
[44:06] 死亡率高達五成
[44:08] 這場疫情若無法在短期內
[44:11] 將患者隔離率提升至70%以上
[44:14] 根據美國疾病管制與
[44:16] 預防中心CDC最新推算
[44:18] 三個月內感染人數恐將突破
[44:21] 兩萬大關
[44:22] 《紐約時報》揭露這個病毒株
[44:25] 驚悚的起源
[44:26] 在戰火與貧困交織的東北部
[44:29] 偏遠山城蒙布瓦魯
[44:31] 數以萬計的逃精者為了生存
[44:33] 用簡陋工具在廢棄金礦坑中絕經
[44:37] 這些古老礦坑正是體型大如雞
[44:40] 之般的蝙蝠群棲息的巢穴
[44:43] 它們正是E.Polar病毒的天然宿主
[44:46] 逃精者在缺乏防護的環境下
[44:49] 與這群蝙蝠共處
[44:51] 邦底布交病毒株毫無預警警報
[44:54] 繁華的金礦
[44:55] 淪為吞噬人命的人間煉獄
[44:58] 雖然剛果的疑似病例大幅下修
[45:01] 最近還有多名醫護戰勝病毒
[45:04] 健康復原的好消息
[45:06] 但強調美國優先的川普政府
[45:09] 不想冒任何風險
[45:12] 如果美國有危險
[45:14] 就無法保護到肯亞人
[45:18] 任何協議之間的辯論
[45:21] 在肯亞或其他地方
[45:24] 必須是公眾的關注
[45:27] 讓肯亞人更氣的是
[45:29] 政府事先完全沒有告知人民
[45:31] 中部的軍事基地要設置
[45:33] 可容納50張病床的隔離中心
[45:36] 大家還是看到美國國務院的聲明
[45:39] 才知道肯亞被美國當成了病毒過濾站
[46:09] 他們給了我們200億的肯亞人
[46:15] 支援我們的健康建築
[46:20] 已經收了15億美元的肯亞政府
[46:23] 似乎不想理會最高法院的禁制令
[46:26] 繼續讓美國軍機運來
[46:28] 隔離中心所需的設備資源和專家人力
[46:31] 而美國也知道
[46:33] 必須收斂負面霸氣形象
[46:35] 才能說服肯亞社會
[46:37] 原本強硬要把病毒阻絕在外的盧比歐
[46:40] 趕緊調整說法
[47:08] 盧比歐還說
[47:09] 國務院幾週前決定重新加入
[47:11] 全球疫苗免疫聯盟
[47:14] 這是個協助貧窮國家取得疫苗的
[47:16] 重要國際組織
[47:18] 但自從疫苗陰謀論者
[47:20] 小甘迺迪擔任美國衛生部長後
[47:23] 川普政府就停止資助經費
[47:25] 給全球疫苗免疫聯盟
[47:28] 很明顯
[47:29] 國務院正在彌補川普2.0政府
[47:31] 大談國際救援經費所造成的
[47:34] 防疫漏洞
[47:36] 美國的莫德納藥廠
[47:38] 最近更是獲得5000萬美元資金
[47:41] 加速開發針對
[47:42] 邦迪布教病毒株的伊波拉疫苗
[47:45] 曾經歷COVID-19病毒爆發的川普
[47:48] 應該很清楚
[47:49] 再怎麼關緊國門
[47:51] 也不可能阻止得了
[47:53] 無形的病毒入侵
[47:55] 只有在第一時間伸出援手
[47:58] 才可能阻止疫情之火
[48:00] 燒向美國利益
[48:02] 謝謝您收看今天
[48:03] 《文欽的世界週報》
[48:04] 《文欽的世界財經週報》
[48:07] 我們下禮拜見
[48:08] 拜拜
[48:32] 拜拜
