[00:30] 主導世界的國家是擁有大型的AI語言模型的國家公司。
[42:23] 對他們而言
[42:24] 日本擁有大和民族主義
[42:27] 擁有自己的軍隊
[42:29] 擁有自己的軍工出口業
[42:31] 擁有一個好的完整的國家
[42:35] 是非常重要的事情
[42:37] 所以告示早明
[42:38] 最大的支持者是年輕的40幾歲的日本人
[43:02] 大國介入其他國家的選舉
[43:05] 國家的選舉不再是一場獨立的選舉
[43:07] 是大國介入已經成了現在全世界國際政治的常態
[43:12] 而這次被介入的國家名字叫做亞美尼亞
[43:15] 亞美尼亞這一次親俄派輸給了親美派
[43:19] 在整個氣勢上
[43:21] 他們的選舉是非常大的
[43:23] 他們的選舉是非常大的
[43:26] 他們的選舉是非常大的
[43:28] 輸給了親美派
[43:30] 在整個氣勢上輸掉
[43:32] 輸掉的原因
[43:34] 跟去年的一場川普所斡旋的
[43:38] 亞美尼亞跟亞洲白人的
[43:40] 雙方的協議是有關係的
[43:42] 但是更重要的是
[43:44] 各位可能要越來越明白
[43:46] 沒有我們這些中小國家的
[43:49] 獨立民眾的選舉
[43:51] 都是有這些大國在背後
[43:53] 給錢給網路給各種資源
[43:56] 給各種不同的方式
[43:57] 來切入各個國家的所謂獨立選舉
[44:11] 亞美尼亞總統尼克爾·巴什尼安
[44:13] 在大選中承認贏了
[44:16] 在南方州的州內的影響
[44:18] 被證明了
[44:20] 最初的結果顯示了
[44:21] 他在第一位的共產黨
[44:24] 被批准了49.8%的投票
[44:27] 表示贏了
[44:28] 支持美國的前進的轉變
[44:31] 儘管這是西亞外高枷鎖地區
[44:33] 亞美尼亞的國會大選
[44:35] 但真正的贏舞者
[44:37] 依然是我們熟悉的川普和普丁
[44:40] 只是這次並不像匈牙利
[44:42] 雙普共同力挺奧班納一樣
[44:45] 而是兩造勢力的對決
[44:47] 最後這次投票
[44:48] 證明了大量的安全轉變
[44:51] 在亞洲敗壞之後
[44:53] 亞美尼亞被俄羅斯人
[44:55] 推動了巴什尼安
[44:57] 向西方向前跑
[44:59] 但離開俄羅斯是危險的遊戲
[45:02] 在巴什尼安的勝利時
[45:04] 巴什尼安表示
[45:05] 他想要西方的投票
[45:07] 他必須繼續與俄羅斯保持關係
[45:10] 因為難道亞美尼亞的能量
[45:14] 貿易和經濟
[45:16] 仍然很依賴俄羅斯
[45:19] 亞美尼亞昔日是蘇聯的一部分
[45:22] 蘇聯解體後
[45:23] 他與俄羅斯一直保持著友好關係
[45:26] 多年前
[45:27] 許多亞美尼亞人更將親俄
[45:29] 視為最妥當的安全閥
[45:32] 只是當總理巴什尼安意識到
[45:34] 國家安全不該寄託在
[45:36] 另一個大國之後
[45:37] 該國開始進行外交及轉彎
[45:41] 從通過《日俄法案》
[45:42] 舉辦首屆亞美尼亞歐盟峰會
[45:45] 再到與美國簽署戰略夥伴協議
[45:48] 亞美尼亞幾乎是以
[45:50] 百米衝刺的速度
[45:51] 權力奔向西方
[45:54] 那種民主是經歷了
[45:56] 歷史上59%的投票
[45:59] 現在在這裡的人們都告訴我們
[46:00] 這並非一個普通的投票
[46:02] 而是一個緊急的選舉
[46:04] 在他們的國家方向上
[46:06] 尤其是俄羅斯冷眼旁觀
[46:08] 造成亞美尼亞與亞塞班然
[46:10] 關係緊張的那場領土戰爭
[46:13] 2025年8月
[46:14] 反而由美國總統川普出面獲選
[46:18] 亞美尼亞和阿索爾巴加尼亞
[46:21] 他們正在堅持為了
[46:22] 永遠的戰鬥
[46:24] 開發商業、旅遊和政治關係
[46:27] 尊重彼此的權力和土地
[46:30] 和正義
[46:31] 非常重要
[46:33] 我和這兩位朋友
[46:35] 花了很多時間
[46:35] 他們應該有很好的關係
[46:37] 你們想知道真相嗎
[46:38] 不少媒體評論認為
[46:40] 這紙協議代表俄羅斯遭遇挫敗
[46:43] 因為莫斯科也曾試圖促成
[46:46] 這兩個前蘇聯共和國的和平協議
[46:49] 我們期望在河南的風暴
[46:52] 當時和在哪裡
[46:54] 俄羅斯回到這個地區
[46:56] 希望重拾失去權力和影響
[46:59] 在這場場合
[47:01] 這並不像是紐約納瓦克瓦
[47:03] 作為一個戰爭
[47:05] 並沒有嚴重的安全性
[47:08] 我們期望俄羅斯
[47:10] 要依靠它經濟和貿易的主權
[47:17] 儘管選舉看似和平落幕
[47:19] 但政治餘波難免
[47:21] 在俄羅斯發跡的億萬富豪
[47:23] 卡拉佩蒂昂所領導的
[47:25] 強大亞美尼亞聯盟
[47:27] 23.28%的得票率
[47:29] 成為了國會第二大政治勢力
[47:32] 他並指控政府進行政治迫害
[47:34] 並且針對特定人士展開政治逮捕
[47:37] 選舉有很多大動作
[47:45] 我們必須要對抗
[47:48] 我們必須要對抗
[47:49] 雖然選舉爭議仍未消除
[47:51] 但歐盟領導人都對
[47:52] 這樣的選舉結果表示歡迎
[47:55] 不過有學者也表示
[47:57] 考量到地緣政治
[47:58] 歷史與經濟等方方面面
[48:01] 亞美尼亞的脫俄入歐之路
[48:03] 都將會漫長而艱辛
[48:07] 謝謝您收看今天
[48:08] 文茜的世界週報
[48:09] 待會回到文茜的世界財經週報
[48:15] 文茜的世界週報
